message,symbols,fixed attribute values
"(3, 3, 15, 3, 3, 0)","{3, 15}","('_', 2, 0, '_', 1)"
"(3, 3, 15, 3, 5, 0)","{3, 5, 15}","(2, 2, 0, 3, 3)"
"(3, 3, 15, 3, 15, 0)","{3, 15}","('_', 2, 0, '_', 1)"
"(3, 3, 15, 15, 3, 0)","{3, 15}","('_', 2, 0, '_', '_')"
"(3, 3, 15, 15, 15, 0)","{3, 15}","('_', 2, 0, '_', '_')"
"(3, 4, 1, 4, 4, 0)","{1, 3, 4}","(3, 0, 0, 0, 2)"
"(3, 4, 3, 4, 3, 0)","{3, 4}","('_', '_', 0, 0, '_')"
"(3, 4, 3, 4, 4, 0)","{3, 4}","('_', '_', 0, 0, '_')"
"(3, 4, 3, 4, 15, 0)","{3, 4, 15}","(3, 2, 0, 0, 1)"
"(3, 4, 4, 1, 4, 0)","{1, 3, 4}","(1, 0, 0, 0, '_')"
"(3, 4, 4, 3, 4, 0)","{3, 4}","('_', 2, 0, 0, 1)"
"(3, 4, 4, 4, 3, 0)","{3, 4}","(2, 2, 0, 0, 0)"
"(3, 4, 4, 4, 4, 0)","{3, 4}","('_', '_', 0, 0, '_')"
"(3, 4, 4, 4, 8, 0)","{8, 3, 4}","('_', '_', 0, 0, '_')"
"(3, 4, 4, 8, 4, 0)","{8, 3, 4}","('_', '_', 0, 0, '_')"
"(3, 4, 4, 15, 4, 0)","{3, 4, 15}","('_', 2, 0, 0, '_')"
"(3, 4, 8, 4, 4, 0)","{8, 3, 4}","('_', '_', 0, 0, '_')"
"(3, 4, 8, 4, 8, 0)","{8, 3, 4}","('_', '_', 0, 0, '_')"
"(3, 4, 15, 4, 3, 0)","{3, 4, 15}","(3, 2, 0, 0, 2)"
"(3, 4, 15, 4, 4, 0)","{3, 4, 15}","('_', 2, 0, 0, '_')"
"(3, 4, 15, 4, 15, 0)","{3, 4, 15}","('_', 2, 0, '_', 0)"
"(3, 5, 1, 1, 1, 0)","{1, 3, 5}","(3, 0, 0, 3, 0)"
"(3, 5, 3, 5, 5, 0)","{3, 5}","('_', '_', 0, 3, 2)"
"(3, 5, 5, 1, 1, 0)","{1, 3, 5}","('_', 0, 0, 3, '_')"
"(3, 5, 5, 3, 5, 0)","{3, 5}","(2, '_', 0, 3, 3)"
"(3, 5, 5, 5, 1, 0)","{1, 3, 5}","(0, 0, 0, 3, 1)"
"(3, 5, 5, 5, 5, 0)","{3, 5}","('_', '_', 0, 3, '_')"
"(3, 5, 5, 6, 1, 0)","{1, 3, 5, 6}","(2, 0, 0, 3, 1)"
"(3, 5, 5, 8, 5, 0)","{8, 3, 5}","(1, 3, 0, 3, 3)"
"(3, 5, 6, 6, 1, 0)","{1, 3, 5, 6}","('_', 0, 0, 3, 2)"
"(3, 5, 15, 5, 5, 0)","{3, 5, 15}","('_', 2, 0, 3, 3)"
"(3, 6, 1, 1, 1, 0)","{1, 3, 6}","('_', 0, 0, '_', '_')"
"(3, 6, 1, 4, 1, 0)","{1, 3, 4, 6}","('_', 0, 0, 0, '_')"
"(3, 6, 1, 6, 6, 0)","{1, 3, 6}","(3, 0, 0, '_', '_')"
"(3, 6, 3, 6, 3, 0)","{3, 6}","(1, '_', 0, 2, 0)"
