fixed attribute values,symbols
"('_', '_', 3, 1, '_')","[{10, 4, 6}, {10, 4}, {10, 4, 14, 6}, {10, 4, 14, 6}, {10, 4, 14, 6}, {10, 4, 14}]"
"('_', '_', 3, 2, 0)","[{9, 10}]"
"('_', '_', 3, 2, 1)","[{9, 10}]"
"('_', '_', 3, 2, 2)","[{9, 10}]"
"('_', '_', 3, 2, '_')","[{9, 10}, {9, 10}, {9, 10}, {9, 10}, {9, 10}]"
"('_', '_', 3, 3, 1)","[{10, 5}]"
"('_', '_', 3, 3, 2)","[{10, 5}, {10, 5}]"
"('_', '_', 3, 3, '_')","[{10, 5}, {10, 5}, {10, 5}, {10, 5}]"
"('_', '_', 3, '_', '_')",[{10}]
"('_', '_', '_', 0, 1)","[{8, 12, 4}]"
"('_', '_', '_', 0, '_')","[{8, 1, 4}, {8, 4}, {8, 4}, {8, 4}, {8, 4}, {8, 4}, {10, 4}, {8, 11, 4}, {8, 12, 4}, {8, 12, 4}]"
"('_', '_', '_', 1, 0)","[{14, 7}]"
"('_', '_', '_', 1, 2)","[{4, 14}]"
"('_', '_', '_', 1, '_')","[{4, 14, 6}, {4, 14, 6}, {10, 4, 14}, {4, 14, 6}, {4, 14}, {4, 14}, {14}]"
"('_', '_', '_', 2, 0)","[{9, 6}]"
"('_', '_', '_', 2, '_')","[{9, 7}, {9}]"
"('_', '_', '_', 3, '_')",[{5}]
"('_', '_', '_', '_', 0)","[{2, 5}, {8, 9, 4}, {9, 4}, {9, 4, 12}, {9, 4, 12, 6}, {9, 4, 12}, {9, 4, 12}, {9, 4, 12, 15}, {9, 13, 4, 12}, {12, 4}]"
"('_', '_', '_', '_', 1)","[{9, 11, 6}, {9, 11, 12, 6}, {9, 11, 6}, {9, 11, 6}]"
"('_', '_', '_', '_', 2)","[{8, 4, 12}, {8, 12, 13}, {8, 12, 4, 13}, {9, 12, 13}, {9, 12, 13}, {12, 13}]"
"('_', '_', '_', '_', 3)","[{11, 12, 7}, {11, 12, 7}, {11, 12}]"
"('_', '_', '_', '_', '_')","[{7}, {9, 4, 12}]"
